id;placed_date;status;code
1;2019-07-21T00:33:02;COMPLETED;even-keeled Saint Helena Pound
2;2019-07-20T06:27:55;COMPLETED;Unbranded Cheese Dynamic
3;2019-07-20T12:13:51;COMPLETED;Supervisor clear-thinking
4;2019-07-20T19:27:23;COMPLETED;Devolved driver Networked
5;2019-07-20T18:58:32;COMPLETED;program alarm
6;2019-07-20T19:23:30;COMPLETED;dedicated Persevering
7;2019-07-20T03:25:59;COMPLETED;dot-com payment Libyan Dinar
8;2019-07-20T06:02:43;COMPLETED;local Shoes
9;2019-07-20T11:17:38;COMPLETED;Villages uniform PCI
10;2019-07-20T08:50:24;COMPLETED;architectures
